name,ott_id,descendant_a,descendant_b
monocot,1058517,247717,605194
eudicot,431495,515712,867221
rosid,1008296,259066,756728
asterid,1008294,515712,567253
Asparagales,557124,406191,781600
Ericales,648892,567253,510792
grassy monocot,921871,605194,627039
euasterid,0,482933,515712
campanulid,596121,515712,372836
Lamiales,23736,482933,1062003
fabid,565281,359905,259066
malvid,565277,3942433,378513
Solanales,1050255,378964,1071040
lamiid,596112,482933,378964
Gentianales,524062,227658,142099
Sapindales,229288,3942433,948916

