name,scientific_name,ott_id,uniqname,image_url,comments
cat,Felis catus,563166,Felis catus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/404/32374404.jpg,
wolf and dog,Canis lupus,247341,Canis lupus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/938/27815938.jpg,
rabbit,Oryctolagus cuniculus,864596,Oryctolagus cuniculus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/181/7530181.jpg,
horse,Equus caballus,1068218,Equus caballus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/000/31662000.jpg,
cow,Bos taurus,490099,Bos taurus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/693/32368693.jpg,
chicken,Gallus gallus,153563,Gallus gallus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/919/24875919.jpg,
mallard,Anas platyrhynchos,765167,Anas platyrhynchos,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/025/31925025.jpg,
frog and toad,Anura,991547,Anura,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/846/27735846.jpg,
swallowtail butterfly,Papilionidae,661439,Papilionidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/175/26875175.jpg,Swallowtail butterflies (Papilionidae) are one family of true butterflies within the order Lepidoptera.
sunflower,Helianthus annuus,515712,Helianthus annuus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/270/25593270.jpg,
rose,Rosa,259066,Rosa,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/851/26800851.jpg,
dolphin,Delphinidae,698406,Delphinidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/415/31956415.jpg,
elephant,Elephantidae,541924,Elephantidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/726/32633726.jpg,
lion,Panthera leo,563151,Panthera leo,https://www.onezoom.org/OZtree/static/FinalOutputs/img/20/140/140.jpg,
brown bear,Ursus arctos,872567,Ursus arctos,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/880/26787880.jpg,
pig and wild boar,Sus scrofa,730013,Sus scrofa,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/006/31653006.jpg,
sheep,Ovis aries,70819,Ovis aries,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/916/32632916.jpg,
goat,Capra hircus,19017,Capra hircus (species in domain Eukaryota),https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/251/31924251.jpg,
mouse,Mus musculus,542509,Mus musculus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/20/310/83310.jpg,
rat,Rattus norvegicus,271555,Rattus norvegicus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/920/27718920.jpg,
hamster,Mesocricetus auratus,391631,Mesocricetus auratus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/672/25631672.jpg,
guinea pig,Cavia porcellus,744000,Cavia porcellus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/350/31811350.jpg,
giraffe,Giraffa camelopardalis,768674,Giraffa camelopardalis,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/387/26880387.jpg,
plains zebra,Equus burchellii quagga,124776,Equus burchellii quagga,http://commons.wikimedia.org/wiki/Special:FilePath/Cebra%20de%20Burchell%20%28Equus%20quagga%20burchellii%29%2C%20parque%20nacional%20Kruger%2C%20Sud%C3%A1frica%2C%202018-07-24%2C%20DD%2001.jpg,
hippopotamus,Hippopotamus amphibius,510762,Hippopotamus amphibius,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/309/27779309.jpg,
rhinoceros,Rhinocerotidae,1034218,Rhinocerotidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/666/25657666.jpg,
western gorilla,Gorilla gorilla,417965,Gorilla gorilla,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/478/31326478.jpg,
chimpanzee,Pan troglodytes,417950,Pan troglodytes,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/520/27252520.jpg,
Bornean orangutan,Pongo pygmaeus,770302,Pongo pygmaeus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/933/28685933.jpg,
tiger,Panthera tigris,42314,Panthera tigris,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/050/13145050.jpg,
leopard,Panthera pardus,42324,Panthera pardus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/706/32525706.jpg,
cheetah,Acinonyx jubatus,752759,Acinonyx jubatus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/168/25602168.jpg,
red fox,Vulpes vulpes,821964,Vulpes vulpes,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/525/27291525.jpg,
deer,Cervidae,460505,Cervidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/985/27770985.jpg,
moose,Alces alces,460509,Alces alces,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/314/26821314.jpg,
camel,Camelus,510767,Camelus,http://commons.wikimedia.org/wiki/Special:FilePath/Chameau%20de%20bactriane.JPG,
llama,Lama glama,986973,Lama glama,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/118/26928118.jpg,
koala,Phascolarctos cinereus,327624,Phascolarctos cinereus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/702/11754702.jpg,
panda,Ailuropoda melanoleuca,872573,Ailuropoda melanoleuca,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/539/27693539.jpg,
polar bear,Ursus maritimus,10732,Ursus maritimus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/033/31476033.jpg,
bat,Chiroptera,574724,Chiroptera,http://commons.wikimedia.org/wiki/Special:FilePath/Big-eared-townsend-fledermaus.jpg,
true seal,Phocidae,749626,Phocidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/297/26886297.jpg,"Phocidae are the true (earless) seals. This does not include sea lions or fur seals, which belong to Otariidae."
Eurasian otter,Lutra lutra,348036,Lutra lutra,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/444/28684444.jpg,
beaver,Castor,1048190,Castor,http://commons.wikimedia.org/wiki/Special:FilePath/American%20Beaver.jpg,
squirrel family,Sciuridae,384218,Sciuridae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/904/26818904.jpg,
raccoon,Procyon lotor,348040,Procyon lotor,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/194/26870194.jpg,
skunk,Mephitis mephitis,231602,Mephitis mephitis,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/120/32389120.jpg,
hedgehog,Erinaceus europaeus,796660,Erinaceus europaeus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/913/5817913.jpg,
porcupine,Erethizon dorsatum,848921,Erethizon dorsatum,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/337/27690337.jpg,
armadillo,Dasypus novemcinctus,796672,Dasypus novemcinctus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/021/26853021.jpg,
sloth,Folivora,495015,Folivora,http://commons.wikimedia.org/wiki/Special:FilePath/Bradypus.jpg,
monkey and ape,Simiiformes,386195,Simiiformes,http://commons.wikimedia.org/wiki/Special:FilePath/Simiiformes.png,
lemur,Lemuriformes,702142,Lemuriformes,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/330/27748330.jpg,
jaguar,Panthera onca,42322,Panthera onca,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/695/33154695.jpg,
hyena,Crocuta crocuta,397157,Crocuta crocuta,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/377/26849377.jpg,
meerkat,Suricata suricatta,803645,Suricata suricatta,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/836/27761836.jpg,
wombat,Vombatus ursinus,835328,Vombatus ursinus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/658/2005658.jpg,
platypus,Ornithorhynchus anatinus,962377,Ornithorhynchus anatinus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/046/31655046.jpg,
narwhal,Monodon monoceros,306757,Monodon monoceros,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/458/26794458.jpg,
walrus,Odobenus rosmarus,749644,Odobenus rosmarus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/217/26790217.jpg,
manatee,Trichechus,226189,Trichechus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/943/31958943.jpg,
flying squirrel,Pteromyini,23775,Pteromyini,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/390/27162390.jpg,
shark,Selachii,78477,Selachii,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20white%20shark%20south%20africa.jpg,
octopus,Octopoda,478542,Octopoda,http://commons.wikimedia.org/wiki/Special:FilePath/Octopus2.jpg,
squid and cuttlefish,Decapodiformes,854107,Decapodiformes,http://commons.wikimedia.org/wiki/Special:FilePath/Loligo%20vulgaris.jpg,
true jellyfish,Scyphozoa,983579,Scyphozoa,http://commons.wikimedia.org/wiki/Special:FilePath/Cauliflour%20Jellyfish%2C%20Cephea%20cephea%20at%20Marsa%20Shouna%2C%20Red%20Sea%2C%20Egypt%20SCUBA.jpg,
starfish,Asteroidea,451009,Asteroidea,http://commons.wikimedia.org/wiki/Special:FilePath/Royal%20starfish%20%28Astropecten%20articulatus%29%20on%20the%20beach.jpg,
true crab,Brachyura,935379,Brachyura (infraorder in Protostomia),http://commons.wikimedia.org/wiki/Special:FilePath/Liocarcinus%20vernalis.jpg,
seahorse,Hippocampus,1007058,Hippocampus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/803/27220803.jpg,
clownfish,Amphiprion ocellaris,674643,Amphiprion ocellaris,http://commons.wikimedia.org/wiki/Special:FilePath/Clownfisch%20%28Amphiprion%20ocellaris%29.jpg,
sea turtle,Chelonioidea,243396,Chelonioidea,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/924/24909924.jpg,
pufferfish,Tetraodontidae,65336,Tetraodontidae,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/580/27157580.jpg,
swordfish,Xiphias gladius,358621,Xiphias gladius,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/610/31655610.jpg,
anglerfish,Lophiiformes,583640,Lophiiformes,http://commons.wikimedia.org/wiki/Special:FilePath/Caulophryne%20pelagica.jpg,
human,Homo sapiens,770315,Homo sapiens,https://www.onezoom.org/OZtree/static/FinalOutputs/img/2/46/46.jpg,
goldfish,Carassius auratus,1005907,Carassius auratus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/386/25623386.jpg,
turkey,Meleagris gallopavo,446482,Meleagris gallopavo,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/844/32577844.jpg,
greylag goose,Anser anser,190887,Anser anser,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/840/27690840.jpg,
African gray parrot,Psittacus erithacus,285641,Psittacus erithacus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/854/25627854.jpg,
emperor penguin,Aptenodytes forsteri,494370,Aptenodytes forsteri,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/116/25605116.jpg,
Eurasian eagle-owl,Bubo bubo,402453,Bubo bubo,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/165/26222165.jpg,
bald eagle,Haliaeetus leucocephalus,1012350,Haliaeetus leucocephalus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/939/26834939.jpg,
peacock,Pavo cristatus,453575,Pavo cristatus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/953/26890953.jpg,
flamingo,Phoenicopterus roseus,595567,Phoenicopterus roseus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/570/7341570.jpg,
American crow,Corvus brachyrhynchos,331952,Corvus brachyrhynchos,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/080/25637080.jpg,
European robin,Erithacus rubecula,507122,Erithacus rubecula,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/881/7509881.jpg,
ball python,Python regius,737820,Python regius,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/829/26851829.jpg,
green iguana,Iguana iguana,608972,Iguana iguana,http://commons.wikimedia.org/wiki/Special:FilePath/Curacao%20Iguana%20iguana%202021%203.jpg,
crocodile,Crocodylus niloticus,35864,Crocodylus niloticus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/759/26840759.jpg,
alligator,Alligator mississippiensis,335590,Alligator mississippiensis,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/639/26887639.jpg,
Greek tortoise,Testudo graeca,207423,Testudo graeca,http://commons.wikimedia.org/wiki/Special:FilePath/Nabeulensis%20sarda.JPG,
common chameleon,Chamaeleo chamaeleon,824527,Chamaeleo chamaeleon,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/004/31792004.jpg,
tokay gecko,Gekko gecko,953907,Gekko gecko,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/053/27727053.jpg,
wood ant,Formica rufa,744114,Formica rufa,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/792/26875792.jpg,
honey bee,Apis mellifera,461645,Apis mellifera (species in domain Eukaryota),https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/917/31920917.jpg,
seven-spot ladybug,Coccinella septempunctata,343294,Coccinella septempunctata,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/256/-26781256.jpg,
garden spider,Araneus diadematus,725241,Araneus diadematus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/582/5815582.jpg,
desert locust,Schistocerca gregaria,330338,Schistocerca gregaria,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/094/16895094.jpg,
emperor dragonfly,Anax imperator,485521,Anax imperator,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/816/31325816.jpg,
mosquito,Aedes aegypti,269666,Aedes aegypti,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/998/3601998.jpg,
housefly,Musca domestica,1011010,Musca domestica,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/983/32386983.jpg,
garden snail,Cornu aspersum,349699,Cornu aspersum,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/129/25636129.jpg,
earthworm,Lumbricus terrestris,316441,Lumbricus terrestris,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/092/29674092.jpg,
apple tree,Malus domestica,3902985,Malus domestica,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/278/25590278.jpg,
banana,Musa acuminata,207474,Musa acuminata,https://www.onezoom.org/OZtree/static/FinalOutputs/img/2/34/34.jpg,
strawberry,Fragaria,208027,Fragaria,http://commons.wikimedia.org/wiki/Special:FilePath/Strawberries.JPG,
blueberry,Vaccinium corymbosum,567253,Vaccinium corymbosum,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/396/32156396.jpg,
watermelon,Citrullus lanatus,1006251,Citrullus lanatus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/294/2445294.jpg,
pumpkin,Cucurbita pepo,379282,Cucurbita pepo,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/780/26781780.jpg,
carrot,Daucus carota,372836,Daucus carota,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/728/26800728.jpg,
tomato,Solanum lycopersicum,378964,Solanum lycopersicum,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/506/26923506.jpg,
corn,Zea mays,605194,Zea mays,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/580/32354580.jpg,
Kentucky bluegrass,Poa pratensis,1079463,Poa pratensis,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/538/5818538.jpg,
saguaro cactus,Carnegiea gigantea,897402,Carnegiea gigantea,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/173/32541173.jpg,
Scots pine,Pinus sylvestris,568619,Pinus sylvestris,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/900/27739900.jpg,
button mushroom,Agaricus bisporus,564405,Agaricus bisporus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/214/27740214.jpg,
swan,Cygnus olor,140314,Cygnus olor,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/297/25805297.jpg,
yellowfin tuna,Thunnus albacares,833188,Thunnus albacares,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/679/20838679.jpg,
Atlantic salmon,Salmo salar,688328,Salmo salar,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/304/31421304.jpg,
killer whale,Orcinus orca,124215,Orcinus orca,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/368/27795368.jpg,
white shrimp,Penaeus vannamei,169168,Penaeus vannamei,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/605/31799605.jpg,
staghorn coral,Acropora cervicornis,507951,Acropora cervicornis,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/740/26821740.jpg,
pigeon,Columba livia,938416,Columba livia,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/837/34214837.jpg,
donkey,Equus asinus africanus,519153,Equus asinus africanus,http://commons.wikimedia.org/wiki/Special:FilePath/Donkey%20in%20Clovelly%2C%20North%20Devon%2C%20England.jpg,
aardvark,Orycteropus afer,561087,Orycteropus afer,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/713/27322713.jpg,
giant anteater,Myrmecophaga tridactyla,490538,Myrmecophaga tridactyla,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/796/26879796.jpg,
echidna,Tachyglossus aculeatus,16038,Tachyglossus aculeatus,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/190/26789190.jpg,
tapir,Tapirus terrestris,1034223,Tapirus terrestris,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/191/32450191.jpg,
bison,Bison bison,907693,Bison bison,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/781/26852781.jpg,
red panda,Ailurus fulgens,872562,Ailurus fulgens,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/974/24158974.jpg,
